timestamp,mac_1,mac_2,rssi
1698522760.9257388,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-58
1698522761.104608,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-54
1698522761.2093859,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-51
1698522761.3722622,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-53
1698522761.5609999,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-54
1698522761.750328,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-55
1698522762.0501544,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-55
1698522762.2892969,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-54
1698522762.41864,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-56
1698522762.5501966,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-54
1698522762.7697465,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-54
1698522763.0675056,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-55
1698522763.583207,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-50
1698522763.8085089,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-58
1698522764.1282604,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-53
1698522764.4842205,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-55
1698522764.9162197,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-55
1698522765.0901215,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-54
1698522765.3482106,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-53
1698522765.621955,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-56
1698522765.890776,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-55
1698522766.3117092,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-49
1698522766.487372,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-54
1698522766.767082,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-58
1698522766.93248,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-50
1698522767.08857,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-53
1698522767.4709616,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-47
1698522767.6854248,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-45
1698522767.907618,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-50
1698522768.281926,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-46
1698522768.47962,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-46
1698522768.483735,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-45
1698522768.6441936,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-44
1698522768.6491592,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-44
1698522768.7272446,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-50
1698522769.0706797,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-53
1698522769.2195003,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-56
1698522769.2684352,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-56
1698522769.2803628,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-56
1698522769.2844243,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-56
1698522769.2963486,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-56
1698522769.3001277,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-56
1698522769.5077384,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-49
1698522769.7940848,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-52
1698522769.9587708,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-45
1698522770.567855,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-53
1698522770.7688186,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-43
1698522770.9201238,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-43
1698522771.1368103,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-49
1698522771.2658873,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-44
1698522771.4031599,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-43
1698522771.5270026,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-47
1698522771.7121496,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-45
1698522771.9427211,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-46
1698522772.3220208,2c:30:33:ed:85:ec,e4:5f:01:d4:9d:ce,-45
