timestamp,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z
1698531485.7104747,0.021577686071395874,0.05268598720431328,0.9635773301124573,-0.02026372402906418,-0.021939288824796677,-0.06940710544586182,-14.232359886169434,-14.473466873168945,-21.449331283569336
1698531485.7737544,0.019880564883351326,0.04394545406103134,0.9872159361839294,0.02807605266571045,-0.012233187444508076,-0.003903321921825409,-21.275096893310547,-21.73892593383789,-32.48854446411133
1698531485.845771,0.030790632590651512,0.045159418135881424,0.9952579140663147,0.014156023971736431,0.02081434428691864,0.0028672777116298676,-24.97355842590332,-25.436927795410156,-38.66334533691406
1698531485.9315426,-0.059734225273132324,0.05559949949383736,0.9852663278579712,-0.06691116839647293,0.11971215903759003,0.05345930904150009,-26.869325637817383,-27.31509780883789,-41.77628707885742
1698531486.0426352,0.021577686071395874,0.07016704976558685,0.982342004776001,-0.125409334897995,0.1936962753534317,0.04577083885669708,-28.615501403808594,-28.443206787109375,-43.042945861816406
1698531486.2000628,-0.003949370235204697,0.04103194549679756,0.9511488080024719,-0.06648652255535126,-0.027991125360131264,0.0703006386756897,-29.219125747680664,-29.137054443359375,-44.05154037475586
1698531486.3223345,-0.020240522921085358,0.03617609292268753,0.9998881816864014,-0.02914438769221306,0.037869662046432495,-0.004035398364067078,-29.62919807434082,-29.74041175842285,-44.77363586425781
1698531486.4864883,0.019880564883351326,0.05729904770851135,1.0042747259140015,0.12629474699497223,0.22176584601402283,-0.04273185506463051,-29.372806549072266,-29.837120056152344,-45.03171157836914
1698531486.6093202,-0.053069666028022766,0.03836122900247574,0.9053338170051575,-0.009160751476883888,-0.013191785663366318,0.06579378247261047,-30.06736946105957,-29.803688049316406,-44.27865219116211
1698531486.7495153,-0.07454437017440796,0.02549321949481964,0.9996444582939148,-0.04101014882326126,-0.043417949229478836,0.10947088897228241,-30.450166702270508,-29.69476318359375,-44.36460876464844
1698531486.912005,-0.041468389332294464,0.052928779274225235,0.9830730557441711,0.03470665216445923,-0.004316704347729683,0.09377985447645187,-30.999330520629883,-29.637941360473633,-44.04071044921875
