timestamp,mac_1,mac_2,rssi
1697075663.4663434,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-72
1697075663.482594,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-71
1697075663.5094602,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-75
1697075663.5376472,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-72
1697075663.5500553,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-73
1697075663.5544384,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-74
1697075663.5825496,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-72
1697075663.5863333,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-75
1697075663.6062014,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-71
1697075665.7075129,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-74
1697075665.723424,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-71
1697075665.727274,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-73
1697075666.8529866,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-71
1697075667.909469,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-73
1697075667.9139128,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-71
1697075668.8947713,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-73
1697075668.9274225,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-73
1697075668.9399912,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-72
1697075668.9531066,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-72
1697075669.9403598,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-75
1697075669.952482,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-78
1697075670.8892503,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-75
1697075670.8937025,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-73
1697075671.7375605,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-76
1697075671.7500815,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-77
1697075671.7624688,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-75
1697075672.787142,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-70
1697075673.6755555,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-71
1697075673.695379,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-68
1697075674.7227693,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-70
1697075674.7353218,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-68
1697075674.7397254,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-66
1697075676.977952,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-74
1697075677.01864,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-71
1697075678.7545092,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-69
1697075678.774222,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-68
1697075679.8419805,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-68
1697075680.8655882,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-67
1697075681.842151,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-64
1697075681.8693345,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-64
1697075682.8182182,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-60
1697075682.8219843,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-60
1697075683.776758,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-65
1697075683.8046234,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-62
1697075684.7739568,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-68
1697075684.790143,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-67
1697075685.776544,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-67
1697075685.792472,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-65
1697075685.7999344,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-65
1697075686.6758895,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-67
1697075686.7160614,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-66
1697075686.7285433,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-63
1697075686.7639885,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-64
1697075687.826232,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-69
1697075687.8542778,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-68
1697075688.8056064,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-68
1697075689.7738912,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-71
1697075689.7778878,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-71
1697075689.7903514,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-72
1697075691.1597066,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-71
1697075691.1765845,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-67
1697075691.1890337,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-70
1697075691.2089345,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-70
1697075691.2257452,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-69
1697075692.0884075,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-74
1697075692.1049054,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-73
1697075692.8917704,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-73
1697075692.9280906,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-74
