1698531491.3859236,right
1698531492.8308775,right
1698531493.863202,right
1698531495.0162196,right
1698531496.7981517,up
1698531498.0895813,up
1698531499.223027,up
1698531500.904907,up
1698531502.2590048,up
1698531503.6769958,up
1698531504.9848742,up
1698531506.9109483,left
1698531508.8339815,left
1698531510.838806,left
1698531512.1865304,left
1698531514.906595,right
1698531516.0916703,right
1698531517.4419162,right
1698531518.6130068,right
1698531519.9282727,right
1698531521.0733542,right
1698531522.792116,down
1698531524.01423,down
1698531525.1575608,down
