timestamp,accel_magnitude
1698531298.9967792,1.1370998969020232
1698531299.5395074,1.1837472784337828
1698531300.082651,1.1120937455413722
1698531300.7257507,1.073785652364112
1698531301.2706285,1.0333881231729152
1698531301.7710454,1.0824669398116993
1698531302.457564,1.0911169191667134
1698531303.2628202,1.1109725411993456
1698531303.776176,1.0499618408766507
1698531304.5103896,1.0899644339790282
1698531305.1518168,1.0263324741925715
1698531306.0073347,1.0760783952455932
1698531306.614289,1.1439614637338447
1698531307.2625215,1.0858749261657532
1698531307.9345613,1.0603815701501171
1698531308.697773,1.0907984077441828
1698531309.3065042,1.077432166069742
1698531309.9878078,1.0911436463303628
1698531310.7202358,1.1369855945248
1698531311.2881744,1.117218686990335
1698531312.012772,1.1198275469217673
1698531312.6273608,1.147996206712527
1698531313.3179126,1.0436743331964249
1698531314.045518,1.0177497483300946
1698531314.7383256,1.2689952663544568
1698531315.3923428,1.222946110722204
1698531315.9994,1.1098301455961426
1698531316.5143232,1.012087086574117
1698531317.4032314,1.2208090231813098
1698531317.9124994,1.028386512203551
1698531318.6834033,1.0309495293528999
1698531319.4819415,1.049815435783814
1698531320.2263713,1.1525733079934595
1698531320.913349,1.1414755456261534
1698531321.6670635,1.068997070420988
1698531322.366965,1.0638379336712842
1698531322.9877253,1.0667980717447703
1698531323.7975647,1.155775634546081
1698531324.4307244,1.0358601555808127
1698531325.1917374,1.086244234689228
1698531325.8641355,1.1049036124302576
1698531326.6461296,1.0716341827701754
1698531327.2772741,1.0590501003054469
1698531327.8810115,1.1464856164022263
1698531328.7659185,1.0516195093864078
1698531329.4364586,1.0343385954675373
1698531330.1930811,1.023661599409714
1698531330.9775162,1.0586646475197623
1698531331.6924787,1.1181068270929402
